#group,false,false,true,true,false,false,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,event,msg,target,venue
,,48,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,669,count,latency,ring_push,mark,delta
,,49,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,84,p50,latency,ring_push,mark,delta
,,50,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,152,p90,latency,ring_push,mark,delta
,,51,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,216,p99,latency,ring_push,mark,delta
,,52,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,4046,count,latency,ring_push,spot,delta
,,53,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,84,p50,latency,ring_push,spot,delta
,,54,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,152,p90,latency,ring_push,spot,delta
,,55,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,176,p99,latency,ring_push,spot,delta
,,56,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,2826,count,latency,ring_push,trade,delta
,,57,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,84,p50,latency,ring_push,trade,delta
,,58,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,92,p90,latency,ring_push,trade,delta
,,59,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,152,p99,latency,ring_push,trade,delta

#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,event,target,venue
,,60,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,12115,count,latency,ring_push,market_state,delta
,,61,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,80,p50,latency,ring_push,market_state,delta
,,62,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,84,p90,latency,ring_push,market_state,delta
,,63,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,96,p99,latency,ring_push,market_state,delta

#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,event,msg,venue
,,64,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,4575,count,latency,ring_wait,l2,delta
,,65,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,68,p50,latency,ring_wait,l2,delta
